1.000 -0.000 0.000 0.000
1.000 -0.022 0.017 0.001
0.998 -0.046 0.032 0.004
0.996 -0.070 0.049 0.008
0.993 -0.094 0.066 0.014
0.989 -0.117 0.083 0.021
0.985 -0.140 0.099 0.031
0.978 -0.165 0.117 0.043
0.971 -0.190 0.135 0.057
0.961 -0.218 0.154 0.072
0.950 -0.247 0.173 0.085
0.940 -0.267 0.190 0.095
0.932 -0.280 0.207 0.103
0.924 -0.290 0.223 0.110
0.918 -0.294 0.238 0.118
0.913 -0.296 0.253 0.124
0.908 -0.295 0.269 0.129
0.903 -0.291 0.285 0.134
0.900 -0.283 0.302 0.138
0.898 -0.268 0.319 0.140
0.896 -0.249 0.339 0.140
0.893 -0.232 0.360 0.138
0.889 -0.214 0.382 0.134
0.884 -0.193 0.406 0.127
0.880 -0.164 0.430 0.118
0.876 -0.131 0.452 0.107
0.871 -0.101 0.471 0.098
0.867 -0.075 0.485 0.088
0.862 -0.051 0.498 0.077
0.856 -0.033 0.511 0.066
0.849 -0.017 0.525 0.055
0.843 -0.012 0.535 0.049
0.838 -0.018 0.543 0.048
0.834 -0.027 0.549 0.050
0.830 -0.042 0.554 0.053
0.825 -0.055 0.560 0.058
0.820 -0.066 0.565 0.068
0.816 -0.075 0.567 0.081
0.814 -0.084 0.566 0.096
0.818 -0.100 0.555 0.108
0.824 -0.108 0.545 0.115
0.832 -0.117 0.529 0.118
0.842 -0.141 0.508 0.116
0.846 -0.173 0.492 0.108
0.854 -0.218 0.464 0.089
0.858 -0.291 0.418 0.059
0.856 -0.354 0.376 0.025
0.849 -0.405 0.340 -0.007
0.844 -0.435 0.312 -0.033
0.844 -0.448 0.292 -0.049
0.842 -0.458 0.278 -0.052
0.840 -0.473 0.263 -0.039
0.832 -0.496 0.249 -0.002
0.813 -0.527 0.241 0.055
0.776 -0.576 0.229 0.119
0.731 -0.625 0.216 0.168
0.692 -0.662 0.206 0.201
0.664 -0.689 0.199 0.211
0.647 -0.708 0.197 0.203
0.633 -0.721 0.206 0.189
0.625 -0.729 0.221 0.171
0.631 -0.730 0.220 0.147
0.631 -0.725 0.242 0.132
0.633 -0.722 0.261 0.099
0.636 -0.715 0.285 0.058
0.638 -0.703 0.314 0.002
0.641 -0.681 0.349 -0.059
0.645 -0.647 0.385 -0.131
0.647 -0.597 0.421 -0.218
0.647 -0.530 0.451 -0.310
0.640 -0.471 0.468 -0.385
0.629 -0.418 0.475 -0.452
0.612 -0.383 0.459 -0.519
0.650 -0.197 0.478 -0.557
0.631 -0.265 0.508 -0.524
0.638 -0.250 0.484 -0.545
0.629 -0.263 0.495 -0.538
0.621 -0.266 0.503 -0.539
0.626 -0.254 0.503 -0.539
0.624 -0.254 0.507 -0.537
0.620 -0.258 0.512 -0.535
0.615 -0.261 0.519 -0.533
0.611 -0.264 0.524 -0.531
0.608 -0.266 0.527 -0.531
0.606 -0.268 0.529 -0.530
